ALJARAFE-O3-AT_IN,ALJARAFE-PM10-AT_IN,ALJARAFE-NO2-AT_IN,ALJARAFE-TMP Media-AT_IN,ALJARAFE-VV-AT_IN
90.8333,19.1667,7.6667,28,9.8333
111.667,17.5,9.6667,30.6667,10.3333
129.667,42.1667,14.3333,32.8333,10.8333
143,74.5,15.5,34.8333,12
156.833,33.6667,11.5,35.6667,13
165,30.5,11.1667,37.1667,13.3333
161.5,48.3333,7.3333,37.1667,14.1667
146.833,40.8333,6,36.3333,15.3333
115.333,40.5,4.3333,35.1667,16.6667
107,71,5.8333,33.8333,13.8333
128.5,35.1667,8.5,31.6667,17.1667
114.667,45.6667,12.3333,29.8333,15.3333
82.3333,65.1667,13.8333,26.1667,7.5
55.1667,125.167,16.8333,23,7.6667
69.3333,43.1667,8.8333,22,5.8333
76.8333,17.8333,8,22.8333,8.6667
57.6667,59.8333,9.6667,21.1667,8
51.5,102.833,9,20,4
62.5,28.3333,7.6667,20.3333,3.8333
68.8333,32.5,10.3333,21.5,5.5
33.5,36,33.8333,21.5,11.3333
44.1667,8,32.3333,23.5,12.3333
59.5,5.1667,29,25.8333,13.5
81.5,25.1667,20.3333,27.3333,16.1667
101.833,26.3333,15.3333,31.1667,11.8333
114.5,32.3333,11.5,34,11.5
131.333,34.8333,9.6667,35.6667,12.8333
116.833,33.3333,5.5,37,17.6667
117.167,19.3333,4.6667,38.5,13.6667
129.167,43.8333,4.8333,38,19.8333
124.833,48.6667,4,37,16.1667
118.667,37.8333,3.6667,37.1667,15.6667
115.667,42,3.8333,36.5,14.8333
104.667,61.1667,4.1667,34.6667,19.3333
98,63.8333,5.3333,32,23.1667
89.5,58.5,6,29.8333,21.3333
83.5,70.8333,4.8333,28.5,23.8333
83.6667,43.1667,5.1667,27.6667,18
78.6667,45,5.1667,26.6667,13
76.6667,60.3333,5.5,26,11.3333
73.3333,57.5,5.8333,25,10.6667
74.3333,62.6667,5.6667,25,12.5
72.6667,63.1667,6.6667,24,13.5
73.3333,23.6667,6.6667,24,8.5
54.8333,52.5,11.1667,24,5
49.6667,35,14.3333,25.6667,4
63.1667,5,14.5,28,6.8333
77.8333,5,13,30.3333,8.5
98.3333,5,10,32.5,8.5
121.833,11,7.5,33.8333,11
129.667,22.3333,5.6667,36.1667,11.1667
135.667,15.8333,5,38,12
138.167,39.8333,4.5,38.5,15
128.833,43.5,4,38.6667,18.8333
126.667,32.1667,3.6667,39,16.5
128,26.8333,3,38.3333,17.6667
117.5,53.3333,3.1667,37.3333,21.3333
119,49.5,4.3333,35.6667,25.3333
109.333,61.8333,5.5,33,21.8333
99.6667,54.6667,6.6667,31.3333,20.1667
96.1667,23,11.1667,29.8333,17.3333
82,40.8333,10,27.8333,9.6667
50.5,177.833,9.5,24.6667,8.8333
53.5,100,6.1667,23.6667,9.6667
61.3333,52.1667,4.8333,23.3333,9.1667
65.5,10.1667,5,23,5.1667
64,6.6667,7.1667,23.1667,5.3333
43.8333,29.5,15.3333,23.3333,5.8333
16.5,39.1667,46.8333,23.1667,8.8333
25.5,46.8333,41.8333,25.1667,8.6667
37.6667,11.1667,42.8333,26.8333,10.8333
72,5,22.8333,29,11.5
92.6667,5.5,18.8333,31.5,12.3333
109.833,15.5,21.6667,33.8333,10.1667
129.667,40.8333,23.3333,36.5,9.8333
157.667,45.1667,18.5,37.8333,9.6667
184.333,34.5,15.1667,39,14
191.5,39.3333,8.8333,40,12.5
155.833,52.8333,5,39.1667,18.5
153.833,42.1667,4.6667,39,19.5
154,38.1667,5.3333,39,15.3333
132.5,73.8333,6.1667,36.5,17
111.667,107.833,9.3333,33.6667,18
104.667,82.5,7.6667,31.3333,17.6667
99,33.1667,7,29.8333,15.5
99.3333,34.8333,6,28.5,19
99,42,5,27.1667,20
99.6667,45.1667,7,26.6667,16
92.8333,32.8333,6.5,26,8.3333
87.3333,31,7,25.6667,6.3333
80.8333,26.1667,10.6667,26,9.1667
60,24.5,25.1667,25.3333,10
40.8333,40.8333,38.3333,25,14
33.3333,22.5,41.8333,25.6667,15.6667
41.3333,37.1667,38.1667,27.6667,13.6667
53,26,32,30.6667,11.3333
79.5,21,21.6667,33.6667,11
96.1667,26.5,17.8333,35.3333,13.3333
112.667,40.6667,17.1667,37.3333,12.3333
125,38.8333,9.5,39.5,14
130.167,29.6667,9.6667,40.3333,14.6667
137.833,45,6,39.8333,18.8333
138.333,53,4.8333,39,19
128.5,40.6667,4.8333,38.6667,19.1667
103.833,54.6667,4.3333,36.1667,24.5
85,61.8333,5.8333,33.1667,21
77.8333,62,9.6667,31.1667,14.3333
72.8333,41,13.3333,30.3333,9.8333
75.5,36.3333,11.1667,30,9.5
74.5,45.3333,9,28.6667,9
69.5,58.8333,7.5,27.1667,9.6667
73.1667,34.3333,5.3333,26.6667,11.8333
72,14,4.8333,26,10.8333
67.5,23.8333,7.1667,26,9.6667
64.5,20.6667,9.3333,26,13.6667
53.6667,28.8333,18.3333,26,16.6667
34.8333,34.5,36,25,13.5
33.5,36,43,25.8333,14.3333
51.1667,32.5,29.6667,27.5,15.3333
64,21.3333,22,29.8333,16
78.8333,24.8333,18,32.1667,14.5
93.3333,31.8333,18.6667,35.1667,14.1667
106.5,41.3333,16.8333,37.3333,12.1667
126.333,37.5,9.8333,38.1667,14.6667
141.667,29.6667,7.1667,38.8333,13.3333
147,27.8333,6.1667,39.8333,13.1667
153.667,28.3333,6.6667,40.6667,11.3333
165.167,36.5,9.6667,40.5,10.5
161.5,38.8333,13,40.3333,11.6667
140,58.3333,12.1667,38,11.6667
105.667,75.5,6.8333,33.5,25.5
93.6667,38.3333,11,31,25
93.8333,37,8.8333,29.6667,27
91.5,23.6667,8.1667,28.6667,25
88.6667,31.3333,7.6667,27.5,24.8333
87.1667,35.1667,5.8333,26.3333,24.3333
88.5,30.5,4.5,25.6667,23.8333
85.8333,14.8333,4,25,17.6667
83.6667,25.1667,4.5,24.3333,16.3333
86,11.8333,5.5,24.5,22.3333
81.1667,25,8.5,24,18
78.8333,76.5,10.5,24.5,15.5
88.8333,12.5,6.1667,26,18.1667
92.5,23.8333,5.6667,27.1667,20
95.8333,27.5,5,28.5,20.1667
97,22.5,5,30,21.8333
99.3333,12,3.6667,31.3333,23.8333
96.3333,25.5,3.3333,32.1667,26.1667
86.3333,27,3,33.1667,24.3333
78.5,78.6667,3,33.6667,25.3333
76,53.6667,3,33.8333,24.8333
77,41.3333,3,32.6667,28.3333
83.3333,55.8333,3.6667,31,31
83.6667,124.333,4.1667,28.6667,30.5
80.8333,176.333,5,26.5,25.6667
77.6667,152.833,5.3333,24.8333,20.1667
67.8333,98.3333,4.3333,23.6667,14.8333
62.8333,134.167,3.8333,23,16.3333
64.3333,74,3.8333,22.8333,15.8333
54.8333,56.5,4.6667,22,12.8333
55.1667,83.6667,4.8333,22,14.3333
64.6667,76.5,4.5,22,16.1667
68.5,35.1667,4,22.5,15.5
66.6667,54.8333,4.6667,22,16.5
66.3333,42.5,5.3333,22,16.6667
65.1667,37.8333,6.1667,22,19.1667
64.8333,34,7.6667,22.6667,17.3333
70.3333,5,7.1667,23.8333,16.1667
74,5,7,27.1667,13.8333
85.1667,5.8333,7.3333,29.3333,15.8333
95.8333,17.3333,6.6667,31.1667,20.3333
104.167,5,5.5,32.6667,20.8333
106.833,5,4.3333,34,23.3333
101.667,5.5,3.8333,34.6667,26.1667
102,14.1667,3.1667,35,27.6667
92.1667,17.8333,3.8333,34.5,25.6667
100.667,12.8333,3.1667,33.6667,26
98.5,41.8333,4.5,31.8333,24.6667
93.6667,52.5,5.1667,29,21.6667
81.8333,148.333,6,26.5,16.6667
67.3333,182.5,6.5,24.1667,10.5
58.5,182.667,7.5,22.5,9.1667
63,185.833,6.1667,22,10.8333
52.6667,74.5,8,22,10.6667
41.6667,67.1667,9.1667,22,11
50,50.1667,7.8333,21.8333,11.8333
55.3333,82.8333,5.5,21,12.3333
58.3333,18.8333,6.1667,21,14
51.6667,10,7.3333,21,9.1667
53.3333,61.3333,10.1667,21.5,8
62.8333,13.8333,8.8333,24.1667,8
73.6667,5,5.5,27,9
84.6667,5,5,29.3333,10
96.3333,5,4.8333,31.6667,11.1667
104.833,12,5,33,15
104.667,7.6667,4.1667,34.5,17.6667
103.833,16.6667,3.8333,35.3333,17.8333
105.5,16,4,36.6667,18.1667
112.667,26.6667,3.5,37.5,21.3333
114.833,91.1667,4.1667,36.5,24
120,24.5,3.8333,35.5,27.1667
115.667,52,5,34.1667,22.3333
104.333,78.6667,7.6667,32,16.8333
90.8333,89.1667,8,29.8333,15.8333
78.1667,97.6667,8,27.6667,12.5
72.3333,110.833,10.3333,26.3333,15
77.5,73.8333,10.6667,25.1667,14.6667
75.3333,46.5,10.3333,24.5,11.5
76,29.5,10.1667,24.1667,7.3333
93.5,11.5,7.6667,24.8333,11.1667
86,29,10.3333,24.5,9.3333
64.8333,100.667,9.1667,22.6667,5
44.8333,144.333,9.6667,22,6
44,74.6667,12.5,24,3.6667
65.5,5,10.8333,27.1667,5
81,5,9.1667,29.3333,6.8333
101.5,5,6.6667,31.5,10
115.333,5.3333,6,34,10
133,12.8333,6.5,35.6667,11.3333
121.833,30.5,4.6667,37,14.6667
113.333,43.5,3.6667,36.8333,20
110.667,21.6667,3,37.1667,19.3333
106.667,36,3,37.8333,17.6667
103.833,72,3,36.6667,23.6667
100.667,67.1667,3.1667,35.3333,25.5
104.833,26,4.3333,34.3333,21.6667
94.6667,54.1667,7.1667,31.6667,19.5
87,46.3333,7.6667,29.5,13
79.1667,54.3333,8.5,28.1667,11
71.5,71.1667,12,26.3333,11.6667
85,45.6667,14,26.6667,12
60.3333,76.3333,11.5,23.3333,5.8333
48.6667,103.833,10.8333,22.3333,6.8333
53.3333,89.6667,9.1667,22.3333,7.5
58.1667,46,9.3333,22,4.8333
52.5,48.8333,12.3333,22,3.1667
26.3333,55.1667,28.6667,21.1667,6.8333
21.3333,109.5,31,21.8333,5.8333
63,7.6667,11.1667,25.1667,10.1667
80.6667,5,6.5,27.5,17.1667
85,5,6.3333,29.3333,17
92.5,13.5,7,31,19.6667
104,37.8333,6.8333,32.3333,22
110.333,26.1667,5.3333,34,24.5
114.333,18.6667,4.5,34.6667,28
125.333,63.5,5.5,34.3333,28.5
118.333,43.8333,5.1667,35.1667,28.6667
119.167,36,17.6667,35.5,29
115.667,81.8333,11.3333,34,31.8333
110.333,84.8333,9.8333,31,28.1667
101.833,82.5,7.6667,28.3333,21.3333
92,54.6667,6.8333,25.8333,16.6667
76.6667,94.6667,7,23,11.8333
74.8333,102.333,6.3333,22,10.8333
68.8333,80.5,7,21.3333,9.1667
58.5,63.6667,6.1667,20.6667,5.5
46.1667,76.5,7.5,20,3.6667
32.3333,38.6667,13.3333,19.8333,3.6667
30.8333,37.3333,14.3333,19.5,3.3333
25.1667,19.1667,14.1667,19,4.8333
30.8333,42.3333,19.3333,19.1667,4.5
47,139.5,15.5,21.5,4.5
55.5,47,11.6667,24.3333,5.8333
55.8333,5,17.3333,26.1667,7.8333
61.1667,24.3333,19.5,28,9.3333
94.5,5,11.8333,31,10
113.667,6.6667,7.3333,33.8333,12
111,22,6,34.3333,17
116.667,6.1667,4.1667,36,17
119.167,15.3333,3.8333,36.6667,17.1667
122.833,50.6667,4,36,23
116.167,18.8333,3.3333,36,21.5
110.667,26.1667,3.6667,35.1667,23.3333
108.833,37.6667,5.1667,33.3333,20.1667
103.5,65.3333,7.6667,30.5,16.6667
98.3333,57.1667,8.1667,28,15
90.8333,49.1667,7.5,25.8333,11.5
82,49.3333,8.5,24.1667,8
60.5,135.167,8.5,22.3333,7.5
52,131.333,6.6667,21.5,7.5
70.5,64.1667,4.8333,21,8.1667
70.3333,33,4.3333,21,4.3333
68,43,5.1667,21,2.5
60.8333,25.3333,12,21.1667,3.3333
46.3333,24.1667,28.6667,22,4
34.5,66.6667,43.8333,23.3333,5.5
61.6667,5,22.5,25.5,9.1667
82.6667,5,7.8333,28,9.6667
89.8563,34.0533,15.395,30,12.1667
99,44.1417,18.3817,31.6667,13.3333
108.667,27.1667,4.3333,32.8333,18.8333
107.667,40.3333,5,34.1667,17.5
113.667,15.3333,4.3333,35.5,19
121.5,23.8333,4.3333,36.3333,22.1667
116.5,86.8333,4.3333,35.6667,22.6667
131.5,10.8333,4.3333,35.6667,28.6667
119,50.5,4,34.3333,30.3333
118.333,32.8333,4.5,32.6667,26.5
110,48,5.6667,30.6667,21.6667
97.1667,107.333,6,28.1667,16.6667
91.8333,116.833,7,26.3333,14.6667
74.8333,128.5,7,24.1667,11.3333
72.1667,66.1667,5.1667,23.1667,13.3333
73.3333,91.6667,4.3333,22.8333,9.8333
58.8333,74.6667,5,22,7.3333
49.5,65.8333,6,21.6667,4.6667
46.3333,37.3333,7.5,21,4.1667
54.8333,49.1667,8.1667,21.5,5.1667
45.6667,25.3333,16.5,21,4.6667
54.8333,77.6667,14.3333,23.1667,3.5
69,9.3333,11,25.6667,7.6667
72.1667,6,16.6667,27,9.3333
103,5,7.6667,29.5,11
115.5,9,7.8333,32.1667,12.3333
119.5,6.6667,6.8333,33.3333,16.3333
123.833,29.1667,5.3333,34.1667,22.3333
123,74,4.6667,34.8333,31.3333
116.167,19.8333,3.3333,34.5,29
114.833,28.8333,3.5,35,24.5
117.167,22.1667,4,35.5,22.8333
119.5,19.3333,4,35,22.1667
112.333,86.1667,4.8333,32.5,19.1667
101.667,119.5,7.5,29.6667,17.8333
96.5,121.833,7.3333,27.5,14
93.5,88.8333,7.8333,25.3333,11.5
85,188.833,5.6667,23.6667,16.1667
84.5,225.833,4.6667,23,13.3333
75.1667,51.8333,5.3333,22.5,7
64.8333,61.8333,6.1667,22,7.1667
71.8333,26.1667,6,22,9
67.3333,28,6.5,22,5.8333
64,44.3333,8.5,22,8.1667
52.3333,41,22.5,22.1667,7.6667
41,59.5,33,24,7.3333
58,5,18.5,26.1667,9.1667
70.5,5,15,28.1667,9.1667
80.5,7.6667,19,30.8333,9
102.667,8.3333,16.3333,32.8333,9.8333
130,12.3333,14.5,35.1667,10.1667
155.833,17.6667,13.1667,36.8333,11.5
176.667,36.3333,10.5,38.5,9.8333
185.333,35.6667,9.5,39.6667,10.5
182.667,28.8333,7.6667,40.3333,9.8333
174.833,43.5,8.5,40.3333,12.1667
150,46.6667,7.1667,39.3333,12.6667
124.833,105.667,5.8333,36.5,19.8333
114.667,79.5,6,32.3333,25.8333
105.333,58.8333,5.8333,30.1667,23.1667
100.667,55.1667,5,28.5,20.1667
95.1667,45.3333,6.6667,27.8333,20.5
90.1667,50.8333,5.6667,26.5,17.1667
86.8333,86.6667,5.5,25.6667,16.6667
81,38.8333,5.8333,25,14.6667
78,10.3333,7.5,25,9.8333
68.1667,61.8333,12,24.5,5.8333
66.5,40.1667,13.5,24,7.6667
55.8333,21,24.1667,25,10.8333
49.6667,19.8333,23,25.3333,13
56.8333,5,17.1667,27,16.6667
75.5,5,11.5,29.8333,14.8333
89.5,5,10.8333,33,12.3333
106,7.8333,8.5,35.6667,13.3333
123.333,32.8333,5.6667,36.6667,14.3333
130.833,39.3333,4.8333,37.3333,13.6667
127,26.1667,4.3333,38.3333,13
123.667,32.8333,3.5,38.6667,13.6667
127.5,36.5,4.6667,39.5,12.8333
119.333,41.5,3.3333,39,14.8333
111.333,47.8333,3.1667,37.3333,13.8333
97.3333,78.8333,5.8333,33.5,17.3333
84,60.1667,8,31.1667,14.6667
83,36.6667,7.8333,30.1667,14.6667
84.5,24.8333,5.3333,29.5,20.3333
75,32.5,7,29,16.1667
75.5,71.5,8.3333,28.1667,17.5
85,43.1667,5.8333,28,18.6667
85.1667,33.1667,5,27,15.8333
80.5,25.8333,6.3333,27.3333,8.1667
67.3333,31.3333,13.3333,27.1667,10.5
63,39.6667,10.3333,26.8333,6
49.6667,47,13.3333,26,5.6667
48.8333,31.3333,16.1667,26.5,7
50.5,19.6667,17,28.1667,9.1667
66.5,7.6667,13,29.1667,15
77.5,6.6667,10,31.1667,13.8333
81.8333,34.8333,9,31.3333,18
88.6667,9,7.6667,34.5,16.3333
100.5,22,7.3333,36.1667,12.1667
108.333,66,6.8333,33.8333,10.6667
110,30.8333,6.6667,35.3333,13.3333
108.167,34,6,35.6667,9.3333
109.833,17,6.3333,37,6.8333
113.167,32.6667,5.6667,36.3333,7.1667
104.333,51.6667,6.5,34.5,7.5
88.5,70.5,6.5,31.3333,6.6667
87.1667,58,8.3333,30.6667,5
77.3333,55.5,16,30.1667,8.1667
81.5,50.6667,14,29,7
59,59.1667,27.8333,28.3333,4
46,60.3333,34.1667,27.6667,4
38.6667,125.833,16.3333,25.8333,5.3333
58.8333,19.6667,10.1667,26.3333,7.3333
29.5,36.3333,27.1667,26.5,8.8333
32.6667,5.6667,23.8333,26.5,9
29.8333,22.8333,37.3333,26.8333,16
27.5,40.8333,48,27,15.1667
37.8333,49.8333,43.6667,28.6667,18
67,34.3333,22,30.8333,19.3333
76.8333,22.3333,23.3333,33.8333,17.3333
86.8333,32.8333,20,37.3333,17.5
110.167,46.6667,15.3333,38.6667,16
125.167,36.1667,11.3333,40.6667,17.8333
139.833,46,10,41.1667,17.3333
134.167,53.6667,7.3333,41.1667,17.3333
117.5,57.6667,5.3333,41,17.1667
117,71.3333,5.5,39.6667,15
102.833,61.8333,8.3333,38.6667,17
80.5,78.8333,18.5,37.5,14.1667
65.8333,97,25.5,36.3333,12.3333
59.6667,107.333,30,34.5,10.5
51.3333,96,36.5,34,7.1667
67.1667,104.167,19.1667,31.1667,13.3333
101.5,61,5.5,29.5,13.5
106.167,41,5.1667,28.3333,14.3333
107.833,26,5,27.8333,18.1667
104,38.1667,5,27,13.8333
100.833,32.5,5,26.3333,11.8333
103.667,26.8333,6.6667,26,12.1667
90,38.5,13.8333,25.3333,5.1667
68,86.1667,23.6667,25.6667,4
58.6667,95.3333,26.3333,27.6667,7.1667
75.1667,42.8333,17.6667,30,9.3333
103,42.5,12,32.8333,9.1667
117.167,57.8333,10.8333,35.6667,11.5
134.333,77.5,10,37.1667,14
144.333,55.1667,7.8333,39,15.1667
136,53.8333,5.3333,40.8333,17.6667
135,60.1667,4.8333,41.1667,18.8333
135.5,68.3333,3.8333,40,23.3333
134,69.3333,3.6667,39.8333,26.1667
131.833,73.8333,4.3333,38,29
129,82.1667,5.3333,35.1667,28.3333
110.667,74.3333,7.3333,33.1667,21.6667
93.6667,77.1667,8.5,31.1667,13.6667
70.3333,155.5,14.1667,27.1667,12.6667
71.1667,93.6667,12.6667,26,8.8333
66.8333,13.8333,12,26,9.6667
68.1667,53.1667,10.6667,26,10.8333
68.3333,53.6667,10.1667,25.3333,4.1667
65.1667,53.1667,10.6667,25,3.6667
64,62.1667,11.3333,26,3.6667
63,83.3333,12.6667,25.5,3.3333
29.5,82.1667,34,24.1667,3.3333
23.5,107,42.8333,25.6667,4.1667
13.3333,97.6667,69.5,27.8333,10.6667
40.8333,44.1667,51.8333,31,9.3333
67.3333,66.6667,44.6667,34.3333,12.8333
92.5,113.167,30.8333,37.3333,10.5
117.167,145.333,21.6667,40.3333,9
128.167,185.333,9,41.5,12.6667
125.333,202.667,7.5,41,17
111.833,191.5,4.5,41.3333,20.6667
99.6667,196.667,3.8333,40.1667,25.8333
91.8333,142.667,3.8333,40,28.1667
91,168.667,4.5,39.1667,37.8333
79.1667,209,6.1667,36.5,34.3333
81.8333,182.5,10.5,34.3333,25.5
76.8333,150.333,11.1667,33.1667,20.1667
64.3333,149.333,13,31.3333,11.3333
52.1667,195.167,16.8333,28,8.5
55.8333,225.333,12.8333,26.3333,6.1667
57,166.5,10.5,26,4.3333
50.5,174,12.3333,25.5,3.5
58.3333,120.167,9.6667,26.3333,4.3333
42.6667,141,17.6667,25.5,4.5
27.8333,187.5,31.3333,24,3.8333
24,151,33.6667,24.1667,5
31.5,121.167,43.5,27,6.1667
81.87,55.6663,29.4083,30,8.8333
87.1667,103,24.8333,32.6667,10.8333
121.333,129.333,18.8333,34.8333,11.1667
152.833,132.333,12.5,37.5,12.6667
150.833,113,8.8333,38.3333,15.3333
137.333,109.167,6.3333,39.1667,16.8333
112,96.3333,4.5,40,20
101.333,111.5,3.8333,39.8333,22.3333
109.333,105,5.3333,38.8333,22.8333
141.5,85.6667,6.8333,38.5,22.8333
146.833,56.5,8.3333,38.6667,28
127.5,88.8333,11.1667,36.6667,23.5
80.1667,53.3333,11.6667,34.5,21
82,32.1667,14.6667,33,17.8333
86.6667,30.3333,10.6667,31.3333,18.5
92.6667,36,8.3333,29.6667,18.1667
87.1667,41.1667,7.3333,28.1667,11.6667
79.8333,37,7.6667,26.6667,11.1667
71.8333,38.3333,7,25.1667,6.1667
68.8333,38.5,8.6667,24.1667,6.1667
60.5,35.1667,9.6667,23.6667,5.3333
25.8333,52.5,21.8333,20.5,5.8333
8.5,92.8333,25.8333,19,4.6667
9.5,60,22.3333,19.5,9
34.1667,13.5,10.3333,22,12.6667
54.3333,15.3333,6.8333,24.3333,19.3333
66.6667,31.5,6.8333,25.8333,21.3333
78.6667,25.1667,5.3333,27.5,28.1667
87.6667,10.6667,4.1667,28.8333,25.1667
96.1667,10.3333,4.1667,29.8333,25.6667
101.833,16,3.8333,30.5,25.8333
110.5,9.3333,3.6667,31.1667,22.6667
114.667,18.5,3.3333,32,23.3333
113.333,22.1667,3.3333,31.3333,26.1667
107.833,32.5,4.3333,30.6667,25.5
103.667,51,4.6667,29,25.8333
95.5,55.8333,5.8333,27,17.3333
87.3333,48.6667,8,25.6667,12
75.8333,53,8.3333,24.6667,7.5
65,93,8.3333,22.6667,5
64.6667,154.5,6.8333,22,7.6667
76.5,88.6667,5.5,21.5,11.5
83,60,5.1667,21,8.8333
81.3333,62.1667,5.5,21,8.1667
81.3333,46,6.1667,21,5.6667
76.1667,55.6667,7.6667,21.5,5
57.5,51.6667,14.5,21.5,5.8333
40.8333,5.3333,33,22.3333,7.5
62,5,24.3333,24.6667,9.1667
78.3333,6.3333,13.3333,27,9.6667
90.1667,5.3333,6.8333,29.3333,9.3333
103.833,5,8,31.5,9.3333
114.5,13,6.3333,32.8333,12.3333
124,6.5,5.6667,34.1667,14.3333
127.833,6,4.8333,34.6667,16.3333
125,31.3333,4.6667,35.3333,14.6667
112.667,14.1667,3.1667,35.6667,17.6667
113.5,24,3,35.6667,14.3333
113.5,24,3.5,35.1667,15.3333
98.3333,171.667,4.3333,31.1667,26.8333
95.3333,129.5,5,28.8333,23.8333
93,112.333,5.3333,27.1667,23
89.5,50.5,5.8333,26.5,16.1667
80.3333,85,7.6667,25.5,11.8333
71.5,95.3333,9.6667,25.3333,11.8333
69.1667,87,8.3333,24.1667,14
72.5,65.6667,6.1667,24,15.1667
72.8333,50,5,24,11.8333
74.6667,28,5,24,10.3333
64.1667,12,7.8333,24,6.1667
45.8333,56.6667,14.6667,23.8333,5.8333
10.5,55.5,29.6667,24.5,5
60.5,7.5,16.6667,26.8333,9
79.6667,5,11.8333,28.8333,9.8333
96.6667,5,9.8333,30.6667,10.6667
109.5,7.1667,6.6667,32.3333,13.8333
115.833,29.6667,5.6667,33.3333,16.6667
108,34.5,4,33.8333,18.6667
104.667,5,2.8333,34.3333,20.1667
107,32.1667,2.8333,34.1667,23.8333
104.5,101.667,3,32.5,30.3333
97,80.3333,2.8333,30.8333,33.1667
94,46.1667,3,29.5,31.5
92,78.3333,3.1667,27.6667,28.6667
88.6667,108.167,4.1667,25.8333,27.3333
77.8333,173,4,24.5,23.1667
69.6667,182.167,3.1667,24,17.6667
63.6667,116.167,4,23,11
56.1667,90.3333,4.6667,22.8333,6.5
47.8333,73.3333,5.1667,22,4.5
48.6667,72.8333,5,22.1667,4.1667
49,29.3333,4.6667,22,5.5
55.6667,15.3333,4,22,5.8333
59.5,26.3333,4,21.1667,6.6667
54.5,52.3333,5.6667,21,5.3333
55,25.1667,7.1667,22,6.1667
71.1667,5.3333,5.1667,24,14.1667
77.6667,5.8333,5,25,16.1667
83.3333,5,3.3333,27,17.1667
84.6667,26.8333,3.1667,27.3333,18.6667
86.5,23.3333,3,28.8333,18.5
86.6667,68,3,29.6667,20
87.5,26.6667,3,30.3333,20.3333
90,29.6667,2.3333,30.5,23.5
95.3333,41.8333,2.6667,30.1667,25.8333
90.1667,65.8333,3,29.6667,28
86,117.333,3,27.6667,29.5
85.1667,121.333,3.1667,25.5,29.6667
84.1667,41.5,3.6667,25,23
81.3333,99.3333,3.6667,24,15
76,76.8333,3.1667,23.3333,14.3333
73.8,42.3333,3.1667,23,13.5
77.3333,12.6667,3,23,10.6667
68.1667,65,4,22.1667,9.5
61.6667,25,5.1667,21.1667,6
55.6667,22,9.6667,21,5
48.3333,16,14.5,21,4.6667
44,25.6667,14.8333,21,3.8333
36,29.6667,26.1667,21,5.5
20,29.5,48.6667,22,4.8333
51.5633,63.2633,22.135,23.3333,5.3333
52.7983,47.38,22.535,24.5,7.3333
38.5533,47.185,39.6133,24.1667,9
81,23,19.8333,26.5,15.3333
87,28,15.3333,28.3333,16
90.3333,75,13.6667,28,15.5
104.333,11,9.5,31.1667,14.6667
111,20.3333,6.8333,31.8333,13
109.833,52.8333,5.1667,31.5,18.8333
95.7383,305,10,20.1667,28.1667
87,77,11.8333,19.8333,18.6667
73,5.6667,24.3333,20.6667,8.8333
68,5,22.3333,21,8.5
43.3333,41.1667,32.5,21,7
58.4,9.6667,19.8333,20.8333,7.8333
42.1667,21.3333,16.8333,20.1667,5.8333
28.1667,50.6667,17.6667,20,3.6667
14.1667,27,26,20,4
10,13.8333,28,19,4.5
12.5,29,27.6667,19,5.3333
11.1667,29.3333,27.8333,19.8333,6
19.6667,5,29.6667,19,11.1667
11.5,20.8333,35.5,19.3333,9.1667
16,25.6667,38,20,7.1667
12.8333,53.8333,34,20,11.1667
21.6667,10,37.6667,21.3333,11.3333
51.3333,5,32.8333,24,12.1667
88.3333,5,21,27.3333,8.5
108.667,5,14.8333,29,11
125,13.5,11.3333,30.1667,13.5
135.167,34.8333,9.1667,31,15
133.667,36,6.8333,31,18.8333
133.833,31.8333,6.1667,31.3333,15.3333
130,33.6667,6.5,31.8333,13.8333
121.5,56.5,8.1667,30.6667,17
117.5,59.3333,10,29,21.5
103.667,114.167,12,26.6667,18.8333
95.5,37.8333,16.3333,25.6667,15.1667
88.6667,32.6667,19.5,24.6667,10.5
48.1667,163.333,27.5,23,5.8333
39.3333,127.167,19.5,21.6667,7.6667
50.8333,48.3333,13.5,21,5.5
55.5,53.3333,9.6667,21,6.6667
61,21,10.6667,21.1667,5
49.3333,55.6667,11,21,4.1667
36.3333,44.5,20.6667,20.6667,3.6667
21.5,27.6667,36.1667,20,4.5
40.5,5,25.8333,21.6667,3.6667
63.6667,5,19.3333,24.5,5.8333
74.6667,5,19,25.6667,8.6667
86.5,6.5,17,26.8333,13.6667
99.8333,17.1667,12,28.6667,15.1667
110.333,29.6667,12.3333,30.1667,14.1667
122.5,41.5,10.5,31.6667,14.8333
116.333,25.8333,8.5,32.3333,18.1667
118,26,7.8333,32.6667,17.3333
121.667,20.5,7.3333,33.1667,17.1667
125.833,17.8333,7.8333,33.5,15.6667
119.667,30,8.1667,32.6667,15.1667
111.167,49.6667,9.1667,31.1667,16.8333
100,51.3333,13.8333,29.1667,16.6667
77.5,32.8333,23.8333,28,14.1667
73.5,30.8333,17.3333,27,17.3333
80,22.6667,14,27,15
45.6667,112.667,18.5,24.3333,9.3333
36,87.6667,14,22.8333,5.6667
20.5,71.5,19.6667,22,5
45.5,17.5,10.5,22.5,7
39.8333,8.6667,13.8333,22.8333,5.5
19.1667,46.3333,22.5,22,3.5
3,36.3333,43,22,3.8333
3.6667,26,48,23.1667,4.6667
16.1667,10.5,57.1667,25.5,10.8333
42.6667,5.1667,40.3333,27.1667,16
